state,year,atr,atr_top5,atr_top1,atr_top5nw,atr_top1nw,rs,beta
SD,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2004,0.19190737003194672,0.4179636726579418,0.4910514996150777,0.5832853405396227,0.8510328120628656,0.053424412258795684,0.22500989086071685
TN,2005,0.19249984639584258,0.41847478766087975,0.49139244158765305,0.5840606295568029,0.8515076031630511,0.053361389857997654,0.22509465005480092
TN,2006,0.19300594848302097,0.4188886846954651,0.49198055247324873,0.5848505518678386,0.8519767457824017,0.053330059150646925,0.22432082373868914
TN,2007,0.19350466286742246,0.41930944024769407,0.4922562759342681,0.5854904139862719,0.852371856153129,0.05329711877275489,0.22434063527067588
TN,2008,0.1940671320650924,0.4199669822044442,0.4928318435403245,0.5864514710117504,0.853173709266873,0.05332045021125831,0.2244157033002193
TN,2009,0.19399549373761873,0.4198580644311367,0.4926040865730067,0.5863204379166161,0.8528977792900484,0.05331331581157617,0.22438850552556158
TN,2010,0.19425017983167248,0.42017717439783436,0.4929627639899139,0.586767797629751,0.8533864276969123,0.053331892649632895,0.22444479495772435
TN,2011,0.19488180157013354,0.42069152839337776,0.49333402318934416,0.5875630217283226,0.8539182756433554,0.05320971926121576,0.21949850357533696
TN,2012,0.19515963182784868,0.42097440769825384,0.49351692749748566,0.5879878430333851,0.8541818184950148,0.05321472292753038,0.21938083851023849
TN,2013,0.19546057363761402,0.4210544787122773,0.49353839742904976,0.5880863885075764,0.8541828294484468,0.0530105566850847,0.2193399439408826
TN,2014,0.19567382433445962,0.42127796362535436,0.4936797351618455,0.5884217163858566,0.8543944595989276,0.05301696652887378,0.2193261787816889
TN,2015,0.19569276534625069,0.4213051448417032,0.4936950517025123,0.5884629020117317,0.8544258523792144,0.05301952060083881,0.21933269488345064
TN,2016,0.163207644687121,0.3512103061521567,0.41149402495782156,0.49057002256743526,0.7121260584345738,0.04423024503333872,0.18275403469656315
TN,2017,0.13075419180373007,0.28118432513001296,0.3293265182607198,0.39277815116297216,0.5699143062312287,0.035409306679756725,0.14620549934815247
